"","Post_ID","Cluster","Language","Ratio_Eng","Ratio_Ger"
"330","5464","2","German",0.0226757369614512,0.396825396825397
"331","5467","1","English",0.476293103448276,0.021551724137931
"332","5417","2","German",0.040625,0.290625
"333","5438","1","English",0.546910755148741,0.0526315789473684
"334","5435","2","German",0.0417633410672854,0.4292343387471
"335","5503","2","German",0.0372148859543818,0.428571428571429
"336","5506","1","English",0.533185840707965,0.0464601769911504
"337","5517","1","English",0.568402471315093,0.030891438658429
"338","5557","2","German",0.0238726790450928,0.485411140583554
"339","5581","2","German",0.0483383685800604,0.356495468277946
"340","5585","1","English",0.466275659824047,0.0557184750733138
"341","5594","2","German",0.0558659217877095,0.444134078212291
"342","5623","2","German",0.0408653846153846,0.423076923076923
"343","5636","2","German",0.0590659340659341,0.438186813186813
"344","5326","2","German",0.0823529411764706,0.388235294117647
"345","5683","1","English",0.485148514851485,0.0396039603960396
"346","5688","1","English",0.491094147582697,0.0203562340966921
"347","5719","2","German",0.0598290598290598,0.403133903133903
"348","5707","1","English",0.519154557463672,0.0290620871862616
"349","5740","2","German",0.0221752903907075,0.382259767687434
"350","5729","1","English",0.447991761071061,0.0350154479917611
"351","5757","1","English",0.504875406283857,0.0433369447453954
"352","5767","2","German",0.0277207392197125,0.428131416837782
"353","5817","1","English",0.547275641025641,0.0288461538461538
"354","5835","2","German",0.0401396160558464,0.43630017452007
"355","5851","1","English",0.520318725099602,0.0262948207171315
"356","5887","2","German",0.0325064157399487,0.408896492728828
"357","5868","2","German",0.0223463687150838,0.483240223463687
"358","5924","1","English",0.46,0.0258823529411765
"359","5974","2","German",0.0342075256556442,0.344355758266819
"360","6016","2","German",0.0202020202020202,0.458585858585859
"361","5910","2","German",0.0332369942196532,0.416184971098266
"362","6048","2","German",0.0347826086956522,0.37536231884058
"363","6092","1","English",0.479349186483104,0.0425531914893617
"364","6117","2","German",0.0236686390532544,0.378698224852071
"365","6163","2","German",0.033195020746888,0.393153526970954
"366","6131","1","English",0.484615384615385,0.0397435897435897
"367","6205","2","German",0.0340314136125654,0.494764397905759
"368","6237","1","English",0.524675324675325,0.0441558441558442
"369","6254","2","German",0.0317124735729387,0.408033826638478
"370","6193","1","English",0.53411306042885,0.0389863547758285
